temperature,eCO2Value,iaqScore,iaqPercent,humidity,time
26.39,317,20,96,35,2025-01-24 16:36:19
33.08,317,20,96,34,2025-01-24 16:36:19
33.08,317,20,96,34,2025-01-24 16:36:20
33.08,317,20,96,34,2025-01-24 16:36:21
33.08,337,25,95,33,2025-01-24 16:36:22
33.08,337,25,95,33,2025-01-24 16:36:23
33.08,337,25,95,33,2025-01-24 16:36:24
33.08,337,25,95,32,2025-01-24 16:36:25
33.08,337,25,95,32,2025-01-24 16:36:26
33.08,337,25,95,32,2025-01-24 16:36:27
33.08,337,25,95,32,2025-01-24 18:36:27
20.74,310,10,98,44,2025-02-05 04:28:40
20.82,310,10,98,44,2025-02-05 04:28:40
20.92,303,10,98,43,2025-02-05 04:28:42
21.01,303,10,98,43,2025-02-05 04:28:43
21.1,303,10,98,43,2025-02-05 04:28:44
21.18,278,5,99,42,2025-02-05 04:28:46
21.24,278,5,99,42,2025-02-05 04:28:47
21.3,278,5,99,42,2025-02-05 04:28:48
21.35,272,5,99,41,2025-02-05 04:28:49
21.39,272,5,99,41,2025-02-05 04:28:51
21.43,272,5,99,41,2025-02-05 04:28:52
21.46,272,5,99,41,2025-02-05 04:29:04
